Title,fragC,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,ECCEN,FMF,tpsaEfficiency,HybRatio,khs.sLi,khs.ssBe,khs.ssssBe,khs.ssBH,khs.sssB,khs.ssssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sI,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,Kier1,Kier2,Kier3,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,PetitjeanNumber,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,TopoPSA,VAdjMat,VABC,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,WPATH,WPOL,Zagreb
,1849.04,0.298333705,-0.167312146,0.011272878,-0.050288684,0.162817712,26.58198504,28.91124058,41.01918792,40.32393535,35.46501925,1734.711499,2069.975863,2958.722652,2920.938305,2650.625227,0,0,1,11,1,3,2,1,0,0,0,0.07856742,0.462027588,0.769611482,0,0,0.025,0.181084218,0.253347189,1.523056038,0,0.247193875,0,0.814680987,0,0.088768368,0,16.51829709,11.70350994,10.66526001,8.966055797,7.645772223,6.621021931,4.503751194,3.359649195,13.95129159,8.586748901,6.772723116,4.927650233,3.72151266,2.735582333,1.593840071,0.992987022,3.379299992,5.532889206,8.142870889,1.547359638,2.270635065,2.876010579,457,0.916666667,0.065164969,0.35,0,0,0,0,0,0,1,0,5,0,0,8,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.41563786,7.709141274,3.9077277970011535,0,2.344573487,1.074948404,0,17.86219448,22.32276831,0,4.788567392,0,0,0,0,0,0,0,0,0,0.707106781,0.25,0.454545455,4,3,3,2,0,0,1,3,0,0,0,21.06,5.754887502,292.952945,49.90885916,2.079535798,12.56919077,0,10.04595131,1294,37,130
,3544.04,0.358801858,-0.234089775,0.071552151,-0.045336262,0.066628099,30.85440994,34.82772938,47.71355484,52.32255111,49.68543981,2292.040074,2778.00049,3968.217445,4192.145523,3852.635763,0,0,2,6,3,7,5,2,0,0.288675135,0.204124145,0.06415003,0.612887369,1.011294056,0.288675135,0.204124145,0.02795085,0.348801467,0.491913196,1.903120666,0,0.470227868,0,1.274914178,0,0.160909179,0,19.95745468,14.13536159,12.9183049,10.95374648,9.304647336,8.13053013,6.087960673,4.728950468,17.69927207,11.40254009,9.459669742,6.887305359,5.074321595,3.993326475,2.482395072,1.657450309,4.619766786,7.6946873,11.49748427,2.411324117,3.486016144,4.5752652,699,0.827586207,0.072790032,0.56,0,0,0,0,0,0,1,1,10,0,1,3,2,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87786961,8.859375,4.345270890725436,0.076923077,4.554776987,2.540829488,0,20.64167635,29.55239498,0,7.729170027,0,0,0,0,0,0,0,0,0,0,0.543690187,0.5,5,2,3,1,1,0,1,3,0,0,0,28.48,6.044394119,383.335536,60.01538575,2.06949606,13.03337818,2.59396247,10.43941571,2248,49,162
,37.02,0.099576063,-0.024894016,-0.049788032,0.024894016,0,19.42589982,6.903541279,5.903541279,8.712949908,0,144.7023796,115.754749,69.46713675,26.06357756,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.414213562,1.914213562,1,0.5,0,0,0,0,3.6820004,2.103567451,1.133893419,0.642857143,0,0,0,0,0,0,0,0,0,0,14,0,0,1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,2.584962501,73.57056349,6.871320344,1.717830086,4.621320344,0,0,10,1,10
,953.01,0.066793846,-0.036700705,-0.009076833,0.010448291,0.001851677,17.3599803,20.33236387,31.83090967,33.66472773,26.66472773,1433.972243,1796.48901,2820.582112,2855.655239,1996.957915,0,0,0,8,4,1,2,1,0,0,0,0.068041382,0.466441848,0.877374962,0,0,0.036084392,0.202379846,0.36050913,1.397884445,0.11785113,0.574053944,0.096225045,0.869295046,0.0625,0.263403785,0.036084392,11.45781916,8.288641693,7.911559189,7.335614586,6.841561494,5.908016163,4.180748559,3.19871255,9.903259204,6.243852489,5.270445074,4.317864276,3.549999261,2.649796126,1.665972367,1.079770778,3.844019309,7.409322159,11.41547652,2.080115731,3.523633983,4.72755619,220,0.941176471,0.054404737,0.25,0,0,0,0,0,0,1,0,1,0,0,8,1,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.88,3.746097815,1.4196468990493436,0,2.282501772,1.960131704,1,11.04341413,16.50827028,3.079558666,5.234105829,3.298769777,0,0,0,0,0,0,0,0,0,0,0.428571429,5,2,1,2,0,0,1,3,1,0,0,12.03,5.321928095,209.2443859,36.05908792,2.121122819,3.168227108,0,3.168227108,428,33,102
,69.01,0.122224788,-0.022874739,-0.038237655,0,0,4.774469036,3.332091977,3.664183954,0,0,81.90006438,65.702455,54.19756081,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0.204124145,0,0,0,3.577350269,1.732050808,1.732050808,0,0,0,0,0,2.90824829,1.204124145,0.90824829,0,0,0,0,0,0,0,0,0,0,0,9,0,0.294098063,0.6666666666666666,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.333333333,NA,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,17.07,2.584962501,66.59818058,6.732050808,1.683012702,2.244016936,2.244016936,0,9,0,12
,114,0,0,0,0,0,6,6,6,3,0,233.8783883,233.8783883,233.8783883,116.9391942,0,0,0,0,6,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,4.242640687,3,2.121320344,1.5,1.060660172,0.75,0,0,3.464101615,2,1.154700538,0.666666667,0.384900179,0.222222222,0,0,0,0,0,0,0,0,36,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,2.222222222,1.3333333333333333,0,0,0,0,9.125465128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,3.584962501,81.16653165,11.8125,1.96875,0,0,0,27,3,24
,176.01,0.083400372,-0.033630741,-0.007445487,-0.000602978,-2.09809E-05,5.774469036,4.332091977,3.332091977,2.332091977,1.332091977,136.4391205,115.5041226,82.95526905,48.03064348,18.49106336,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.121320344,2.414213562,1.353553391,0.707106781,0.353553391,0,0,0,3.568533939,2.023334547,1.077160188,0.511667274,0.158113883,0,0,0,0,0,0,0,0,0,24,0,0.273108352,1.0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4.0,0,1.650963624,0,0,2.381101578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,20.23,3,86.5306239,8.849873734,1.769974747,2.362436867,2.362436867,0,20,2,14
,569,0,0,0,0,0,8,7,6,5,4,331.7025479,303.6821836,261.2802582,212.3291125,161.2474954,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.242640687,3.914213562,2.414213562,1.457106781,0.853553391,0.478553391,0.25,0.125,6.242640687,3.914213562,2.414213562,1.457106781,0.853553391,0.478553391,0.25,0.125,0,0,0,0,0,0,74,0,0,1.0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7.2,0.142857143,4.008290259,0,0,7.473424937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,3.807354922,146.9243357,14.83110795,1.853888494,0,0,0,84,5,26
,916.03,0.216475728,-0.064273673,-0.084988694,0.07667617,-0.043831104,24.84739924,18.61622648,28.3986349,25.61946074,24.23218108,1014.849339,1125.546396,1477.700208,1300.769974,1143.683091,0,0,0,6,1,4,1,1,0,0,0,0,0.083333333,0.131445856,0,0,0,0.027777778,0.045385928,2.444154323,0.353553391,0.232307808,0,1.725578702,0.25,0.049104638,0,12.34493498,7.293512317,7.633042249,4.552442945,3.575005256,2.376400303,1.241173026,0.650099968,10.92889306,5.747138598,5.427059303,2.387034513,1.797101052,0.866004561,0.46153292,0.188033101,2.550465668,3.90324098,4.945258464,1.168218029,1.815828609,1.690288665,200,0.375,0.121702484,0.46153846153846156,0,0,0,0,0,0,4,0,0,0,0,4,1,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0625,5.557655955,4.816635160680529,2.121320344,2.61186323,4.168124304,3.039342743,3.532775529,7.258033484,0.70268821,3.14734519,1.154700538,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,0,0,0,1,0,0,0,29.1,5,234.60002,30.80953853,1.925596158,7.905696416,2.526864887,2.85985016,454,20,78
,58.01,0.083636047,-0.033238011,-0.008580013,0,0,3.774469036,2.332091977,1.332091977,0,0,46.73521063,32.24186,13.64521519,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.707106781,1.414213562,0.707106781,0,0,0,0,0,2.154320377,1.023334547,0.316227766,0,0,0,0,0,0,0,0,0,0,0,6,0,0.439382724,1.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,20.23,2,51.93865465,4.914213562,1.638071187,2.207106781,2.207106781,0,4,0,6
