Title,ALogP,ALogp2,AMR,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nAcid,naAromAtom,nAromBond,nAtom,nBase,nB,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,nAtomLC,nAtomP,LipinskiFailures,nAtomLAC,MLogP,nRotB,MW,XLogP
,2.5759,6.63526081,149.3597,11.89,15.99896011,-0.392293553,0.258904364,3.88998557,13.72326991,0,11,11,77,0,44,0,0,2,10,3,6,4,5,2,0,0,0.15515061,0.706865078,1.555321006,0,0,0.087793079,0.421796926,0.939462013,4.220151733,0.303246536,2.164080973,0.539844629,2.809647438,0.236399006,1.181139849,0.270557563,27.90504844,18.41339347,18.51504614,16.66711933,14.80692673,11.94651253,9.640600896,7.484196567,23.34757988,14.01931732,12.80946636,10.71239051,9.043253386,6.715557908,5.078452311,3.593386251,11.34189045,20.9326775,31.83426914,6.933204462,12.22325754,17.2552756,19,15,0,10,4.21,5,530.2780726,3.748
,-0.3125,0.09765625,47.4371,11.99342695,15.99491817,-0.283754776,0.203100659,4.633222151,9.805569787,0,6,6,25,0,14,0,0,3,2,1,0,3,0,0,0,0,0.096225045,0.350067718,0.344829141,0,0,0.064549722,0.148022097,0.123415514,0.73090178,0,0.282691565,0,0.381161305,0,0.113340377,0,9.259148545,6.2876937,5.475695617,4.783585248,3.630433334,2.54858145,1.395330399,0.874556582,7.60364039,4.444034959,3.345475184,2.561731178,1.767362672,0.954778162,0.453938569,0.23340908,2.067282172,3.010529714,3.551410281,0.963842455,1.295670369,1.186025592,8,6,0,4,2.23,1,176.0949631,0.391
,3.0793,9.48208849,93.226,11.85,15.99492018,-0.301982774,0.17008493,5.330661763,12.07444633,0,12,12,43,1,24,0,0,0,10,5,1,2,0,0,0,0,0,0.166666667,0.214076175,0,0,0,0.055555556,0.067061488,1.438505049,0,0.247193875,0,0.820191596,0,0.100592232,0,15.52673326,10.64786705,9.628410599,7.492185394,6.777664462,5.4398052,3.991328619,3.022331228,13.17293465,7.707490082,6.076402666,4.056136459,3.090359772,2.168308607,1.409912258,0.917014378,2.823680014,5.166866728,7.243669573,1.334967615,2.001621465,2.41238292,10,16,0,4,3.44,3,291.1623145,3.878
,0.5002,0.25020004,64.1465,11.89,15.99692672,-0.311304648,0.279107459,4.257085579,9.869822828,0,0,0,41,0,19,0,0,2,0,0,3,7,1,1,0,0,0.11785113,0.244818077,0.402638648,0,0,0.072168784,0.124472739,0.24502713,2.390950123,0.25,0.11785113,0,1.835976425,0.25,0.017010345,0,13.33649881,8.354973827,8.670651278,5.72324215,5.209572407,3.06910283,2.315413605,0.9544921,11.49232958,6.854676859,6.631005915,3.909196603,3.385491004,1.657400906,1.15024016,0.35818671,2.973168007,5.335157688,5.801303925,1.867580892,3.409320368,3.218524372,10,3,0,5,2.56,3,253.1677938,2.944
,-0.3055,0.09333025,64.376,11.89,15.99592269,-0.278874105,0.226975379,5.304393422,10.42522883,0,0,0,38,0,15,0,0,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1.03365121,0,0.42279811,0,0.511590239,0,0.12316273,0,12.71517847,7.488799625,6.013298513,4.694584133,3.355356201,1.925938811,0.773276762,0.219821982,10.85718814,5.634811457,3.780963873,2.421763599,1.594494311,0.873935963,0.29203909,0.068080649,2.696002023,3.788902705,4.94701606,1.05578546,1.396465178,1.554573222,9,5,0,4,2.34,7,226.1681281,1.289
,2.5194,6.34737636,96.058,11.9,15.99793984,-0.302893086,0.342853507,4.628852295,10.55735828,0,12,12,51,0,29,0,0,0,12,0,2,4,0,1,0,0,0.125,0.380900841,0.331837567,0,0,0.125,0.240926725,0.166743799,1.692705341,0.125,0,0,0.957106781,0.125,0,0,18.9515367,13.15139701,11.47427669,8.920041692,7.074629017,5.407753434,2.980771647,2.018941655,15.14913654,9.129427618,6.841422815,4.723489679,3.243465784,1.869511703,0.790353083,0.447947707,3.054634153,4.636861973,5.087769847,1.559388357,2.107596936,1.48879545,17,10,0,4,3.11,10,368.1736074,4.532
,2.1733,4.72323289,66.0934,11.99335596,14.00928495,-0.342376454,0.027989266,6.153510713,10.39982463,0,9,10,34,1,18,0,0,0,6,2,0,4,0,0,0,0,0.07856742,0.373596937,0.619346436,0,0,0.03125,0.15908738,0.227919383,1.10549886,0,0.358304986,0,0.708412597,0,0.206698296,0,11.12095586,7.754020195,7.185176963,6.154784611,5.206152394,4.413538989,3.184841933,2.360734199,9.955285285,6.003579712,4.987924724,3.799625172,2.791789789,2.085223217,1.320731859,0.86882295,2.784396304,4.189324833,5.829468688,1.607558115,2.017171422,2.458288268,9,9,0,4,2.78,1,214.1469987,2.566
,-0.9234,0.85266756,57.0355,11.89,15.99692672,-0.279527566,0.285302987,4.443830235,12.04387946,0,0,0,33,0,18,0,0,2,1,1,1,5,0,1,0,0,0,0.150174595,0.257167072,0,0,0,0.087793784,0.074082074,1.291039428,0.068041382,0.635379749,0.130245736,0.582820224,0.044194174,0.195368604,0.036084392,12.46625533,8.108226126,7.179531069,6.324463054,5.658248849,3.539142683,2.3112106,1.175338376,9.837629047,5.973509423,4.471400381,3.598844589,2.619571465,1.663425328,0.82691248,0.455855929,3.758208328,7.240034749,8.616075663,1.602012333,2.483895059,2.489623154,9,8,0,7,2.23,2,236.1160925,1.607
,3.7182,13.82501124,91.6047,11.85,14.00308416,-0.308649384,0.119662744,5.746144531,12.05019669,0,12,12,42,1,23,0,0,0,11,5,1,1,0,0,0,0,0,0.166666667,0.214076175,0,0,0,0.055555556,0.059852793,1.149829914,0,0.247193875,0,0.699400784,0,0.089779189,0,14.65648977,10.2540202,8.982738022,7.262809385,6.252455047,5.294526856,3.828924622,2.944232484,12.71228012,7.472962523,5.71758457,3.869147603,2.786892248,1.982022519,1.244517642,0.816710824,2.56097718,4.350864458,6.367855926,1.207650536,1.648822755,2.009647039,10,16,1,4,3.55,3,275.1673998,5.214
,0.3085,0.09517225,88.716,11.89,15.99592521,-0.392261061,0.133363498,4.992882677,12.46334056,0,0,0,55,0,27,0,0,0,1,0,3,9,5,3,0.204124145,0.36425077,0.311004234,1.272156322,2.538285382,0.204124145,0.36425077,0.311004234,1.219644932,2.329397908,2.896806376,0.278838768,1.539651373,0.396656021,2.552698063,0.278838768,1.31820798,0.367177399,16.19830613,10.84382469,11.38350104,10.66252179,9.779832682,7.1887196,5.706778981,4.384866786,14.97641775,10.02943871,10.3109775,9.86011661,8.783846767,6.542987222,5.079358112,3.914460019,7.978131239,14.89260304,20.62084123,7.106887191,12.83801472,17.3938294,10,1,1,10,3.55,1,316.2402305,5.312
