Title,ALogP,ALogp2,AMR,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nAcid,naAromAtom,nAromBond,nAtom,nBase,nB,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,nAtomLC,nAtomP,LipinskiFailures,nAtomLAC,MLogP,nRotB,MW,XLogP
,1.5666,2.45423556,159.9328,11.89,78.91833774,-0.351496525,0.256447399,5.739790506,12.40639945,0,9,10,83,1,49,0,0,4,5,4,7,8,3,0,0,0,0.255344115,0.824619142,1.924235704,0,0,0.145358866,0.375555149,0.712721387,4.455307645,0.201184464,1.822157134,0.218842088,2.653395011,0.053033009,0.708976059,0.049099624,30.584693,20.36857082,20.501306,18.22109471,16.71777603,14.59194551,11.15648431,8.497045481,26.90195193,16.26489122,14.47711409,10.93039208,8.720947496,6.648690512,4.769155876,3.20626652,11.44047547,20.53245236,33.64451877,5.550007085,8.3484909,11.66789191,17,11,0,6,3.77,6,653.2212818,3.791
,4.3909,19.28000281,141.3472,11.85,15.997949,-0.365262538,0.268774215,4.553292489,11.07949206,1,18,18,74,1,40,0,0,1,15,4,5,6,0,1,0,0,0,0.370790812,0.325481449,0,0,0,0.15647753,0.136810675,2.623729619,0.166666667,1.186946596,0.25,1.561819665,0.125,0.321293731,0.06448844,26.25250161,17.84137372,16.07844732,13.47113024,9.903057657,7.930919818,5.153671961,4.049886443,21.80652384,13.19207756,10.41272188,7.409189056,4.870480899,3.445951206,1.98968196,1.331738748,6.666602791,8.084520038,9.967541384,2.884520514,3.155632881,3.244930127,21,8,2,5,4.43,11,499.272259,5.929
,-0.2481,0.06155361,91.6186,11.89,31.97207222,-0.327107925,0.302194551,4.699842703,11.81640388,1,0,0,43,1,26,0,0,3,4,2,3,4,0,0,0,0.111111111,0.332395981,0.700170447,1.06073724,0,0.074535599,0.196251723,0.402083467,0.557400851,1.850692449,0,0.702657303,0,0.921593839,0,0.238619269,0,17.43035694,11.41359136,10.6103706,9.088370951,7.423193913,5.82171753,3.669567213,2.601407388,14.00668916,8.739751229,7.103089529,5.801677326,4.277302103,3.128560659,1.844170857,1.147557413,4.782950492,7.461426232,10.60880654,2.293824866,3.21058548,4.060334083,13,8,0,6,2.34,5,349.1096272,-2.462
,2.7362,7.48679044,78.2578,11.99851815,34.97015624,-0.331600064,0.258930618,3.775353212,10.30815716,1,6,6,38,0,19,0,0,1,5,1,4,3,0,0,0,0,0,0.083333333,0.107038088,0,0,0,0.027777778,0.032064455,0.945705769,0,0.083333333,0,0.368739851,0,0.0372678,0,14.08757567,9.168233758,7.442986032,5.270856948,4.120409928,3.077570448,2.052209114,1.275232834,12.32961086,7.41583471,5.034680692,3.20450979,2.299288474,1.510101975,0.877377914,0.436116388,1.664496878,2.317490793,2.722016415,0.743748523,1.05117641,1.15451742,13,7,0,4,2.45,9,303.0792844,3.926
,0.2983,0.08898289,56.4273,11.99855161,34.96938076,-0.242359376,0.248032918,7.264039063,12.78466548,0,6,6,23,2,18,0,0,0,6,0,0,0,0,0,0,0,0,0.114481121,0.351579285,0,0,0,0.040585228,0.097374192,3.054573407,0.49279928,0.780330086,0.201184464,0.885935129,0.054943971,0.187782043,0.015860958,12.84493498,7.716162048,8.66858933,5.950496536,4.992919191,3.558889824,3.072925766,1.488548549,9.247481376,5.262821374,4.383608384,2.915731564,2.003944236,1.265122664,0.806828615,0.34418396,4.558599854,7.249829171,9.187956281,1.493652088,1.934319985,2.15320791,8,16,0,0,1.13,1,294.9488254,-0.5
,1.235,1.525225,79.5149,11.98845126,18.99840729,-0.365206211,0.295663509,4.514278111,11.0440928,1,10,11,42,1,27,0,0,2,6,2,4,3,0,0,0.288675135,0.166666667,0,0.394616868,0.727768905,0.288675135,0.129099445,0,0.199682924,0.275574623,1.775232834,0,0.636636523,0,0.74010451,0,0.166417979,0,16.8445705,11.55855065,10.84231743,8.964559166,7.687201531,6.43829766,4.762311494,3.613276889,13.0881436,8.133883267,6.373312034,4.440435226,3.239321974,2.330604334,1.377013726,0.893927188,4.435907746,7.222242842,11.01871578,1.579644246,2.18261623,2.791697922,12,15,0,2,2.56,3,331.1332198,3.84
,-0.5211,0.27154521,95.1207,11.99614623,15.99929719,-0.411936908,0.16185869,4.472843219,12.61270161,0,0,0,55,0,28,0,0,0,3,1,3,8,4,2,0,0,0.083333333,0.384805741,0.970615381,0,0,0.083333333,0.349072856,0.773729434,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,6.936697888,12.96535304,19.54447223,5.464825528,9.699940832,13.46975217,13,4,0,11,3.33,2,346.2144097,1.704
,-1.1216,1.25798656,96.3667,11.9,15.99894107,-0.392771234,0.189943364,4.537215455,12.62741592,0,0,0,56,0,29,0,0,0,3,1,3,8,4,2,0,0,0.072168784,0.425023735,1.116645258,0,0,0.072168784,0.350260508,0.809844482,3.170365094,0.321975275,1.781446064,0.557566756,2.270137274,0.243652616,1.067221801,0.286855991,18.90541292,12.17050462,12.32008542,11.54020407,9.71610736,7.819332562,5.811462435,4.43084756,15.70174296,9.957047497,9.557340138,8.653266583,7.281019868,5.590578717,4.114822012,2.993701779,8.85081559,15.53077528,23.16283745,6.020355596,10.3030834,14.285888,13,4,0,11,3.22,2,362.2093243,0.553
,1.6294,2.65494436,126.546,11.98826531,31.97207263,-0.311703707,0.244959979,5.584817009,10.32003852,0,15,16,60,0,35,0,0,3,10,1,6,1,0,0,0,0,0.096225045,0.426346367,0.649307445,0,0,0.036084392,0.155281698,0.179066614,3.501565461,0.353553391,0.411866187,0,1.393939908,0.050999172,0.099487948,0,22.88010441,15.1924918,15.06742277,11.01166127,9.616499333,7.723647661,5.482288577,4.178434198,18.625605,11.02982899,8.748421239,5.403014045,4.028258387,2.732353819,1.613673096,1.050367482,4.947579089,8.221517023,10.95889025,1.842368086,2.608044467,2.896694618,18,16,0,3,2.78,7,456.19436,2.911
,-2.2849,5.22076801,62.8188,11.99440261,15.99793383,-0.308410941,0.223918829,4.486091797,9.807671333,0,0,0,35,2,20,0,0,4,0,0,6,1,0,0,0,0,0,0.136082763,0.359561759,0,0,0,0.055901699,0.081545212,1.761193611,0,0.11785113,0,0.758462648,0,0.091287093,0,13.99119935,8.935560746,8.673991628,6.000973155,5.498145334,3.642009977,2.449173031,1.25442749,10.64030453,6.055646423,4.866331987,3.131268766,2.285927756,1.400992465,0.718802412,0.37318815,2.633270707,4.572926735,5.694504567,1.212172519,1.577050079,1.762493266,10,5,0,3,1.79,3,268.1171551,-2.616
